,Unnamed: 0,sentence,language,set,gold_amr,parsed_amr,smatch
1008,1008,What is the largest metropolitan area in Washington state?,en,train,"# ::snt What is the largest metropolitan area in Washington state?
(h / have-degree-91
      :ARG1 (a3 / amr-unknown)
      :ARG2 (l / large)
      :ARG3 (m2 / most)
      :ARG5 (a2 / area
            :location (s / state :name (n / name :op1 ""Washington""))
            :mod (m / metropolitan)))","# ::snt What is the largest metropolitan area in Washington state?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883325
(z0 / have-degree-91
    :ARG1 (z1 / area
              :mod (z2 / city)
              :location (z3 / state
                            :wiki ""Washington_(s3000 / state)""
                            :name (z4 / name
                                      :op1 ""Washington"")))
    :ARG2 (z5 / large)
    :ARG3 (z6 / most)
    :ARG5 (z7 / area
              :location z3))",0.78
1009,1009,Вашингтон штатында иң ҙур ҡала ниндәй?,ba,train,"# ::snt Вашингтон штатында иң ҙур ҡала ниндәй?
(h / have-degree-91
      :ARG1 (a3 / amr-unknown)
      :ARG2 (l / large)
      :ARG3 (m2 / most)
      :ARG5 (a2 / area
            :location (s / state :name (n / name :op1 ""Washington""))
            :mod (m / metropolitan)))","# ::snt Вашингтон штатында иң ҙур ҡала ниндәй?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883350
(z0 / Вашингтон
    :polarity (z1 / amr-unknown))",0.19
1010,1010,Ո՞րն է Վաշինգտոն նահանգի ամենամեծ մայրաքաղաքային շրջանը:,hy,train,"# ::snt Ո՞րն է Վաշինգտոն նահանգի ամենամեծ մայրաքաղաքային շրջանը:
(h / have-degree-91
      :ARG1 (a3 / amr-unknown)
      :ARG2 (l / large)
      :ARG3 (m2 / most)
      :ARG5 (a2 / area
            :location (s / state :name (n / name :op1 ""Washington""))
            :mod (m / metropolitan)))","# ::snt Ո՞րն է Վաշինգտոն նահանգի ամենամեծ մայրաքաղաքային շրջանը:
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883374
(z0 / amr-empty)",0.11
1011,1011,Quelle est la plus grande métropole de l'état de Washington?,fr,train,"# ::snt Quelle est la plus grande métropole de l'état de Washington?
(h / have-degree-91
      :ARG1 (a3 / amr-unknown)
      :ARG2 (l / large)
      :ARG3 (m2 / most)
      :ARG5 (a2 / area
            :location (s / state :name (n / name :op1 ""Washington""))
            :mod (m / metropolitan)))","# ::snt Quelle est la plus grande métropole de l'état de Washington?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883399
(z0 / estrange-01
    :ARG1 (z1 / city
              :wiki ""Washington,_D.C.""
              :name (z2 / name
                        :op1 ""Washington""))
    :ARG2 (z3 / métropole
              :ARG1-of (z4 / have-degree-91
                           :ARG2 (z5 / grande)
                           :ARG3 (z6 / most))))",0.48
1012,1012,Welches ist das größte Ballungszentrum im Bundesstaat Washington?,de,train,"# ::snt Welches ist das größte Ballungszentrum im Bundesstaat Washington?
(h / have-degree-91
      :ARG1 (a3 / amr-unknown)
      :ARG2 (l / large)
      :ARG3 (m2 / most)
      :ARG5 (a2 / area
            :location (s / state :name (n / name :op1 ""Washington""))
            :mod (m / metropolitan)))","# ::snt Welches ist das größte Ballungszentrum im Bundesstaat Washington?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883429
(z0 / amr-unknown
    :domain (z1 / region
                :wiki ""Ballungszentrum""
                :name (z2 / name
                          :op1 ""Ballungszentrum"")
                :mod (z3 / grandößte)
                :location (z4 / country-region
                              :wiki ""Federal_Diet""
                              :name (z5 / name
                                        :op1 ""Bundesstaat""
                                        :op2 ""Washington""))))",0.29
1013,1013,Welche Metropole ist die größte im Washington Staat?,de,train,"# ::snt Welche Metropole ist die größte im Washington Staat?
(h / have-degree-91
      :ARG1 (a3 / amr-unknown)
      :ARG2 (l / large)
      :ARG3 (m2 / most)
      :ARG5 (a2 / area
            :location (s / state :name (n / name :op1 ""Washington""))
            :mod (m / metropolitan)))","# ::snt Welche Metropole ist die größte im Washington Staat?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883455
(z0 / größte
    :domain (z1 / city-district
                :wiki ""Metropole""
                :name (z2 / name
                          :op1 ""Metropole"")
                :location (z3 / city
                              :wiki ""Washington,_D.C.""
                              :name (z4 / name
                                        :op1 ""Washington""
                                        :op2 ""Staat"")))
    :polarity (z5 / amr-unknown))",0.35
1014,1014,Какой самый большой город в штате Вашингтон?,ru,train,"# ::snt Какой самый большой город в штате Вашингтон?
(h / have-degree-91
      :ARG1 (a3 / amr-unknown)
      :ARG2 (l / large)
      :ARG3 (m2 / most)
      :ARG5 (a2 / area
            :location (s / state :name (n / name :op1 ""Washington""))
            :mod (m / metropolitan)))","# ::snt Какой самый большой город в штате Вашингтон?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883482
(z0 / какой)",0.11
1015,1015,Какой мегаполис самый большой в штате Вашингтон?,ru,train,"# ::snt Какой мегаполис самый большой в штате Вашингтон?
(h / have-degree-91
      :ARG1 (a3 / amr-unknown)
      :ARG2 (l / large)
      :ARG3 (m2 / most)
      :ARG5 (a2 / area
            :location (s / state :name (n / name :op1 ""Washington""))
            :mod (m / metropolitan)))","# ::snt Какой мегаполис самый большой в штате Вашингтон?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883507
(z0 / какой)",0.11
1016,1016,Какова наибольшая городская территория штата Вашингтон?,ru,train,"# ::snt Какова наибольшая городская территория штата Вашингтон?
(h / have-degree-91
      :ARG1 (a3 / amr-unknown)
      :ARG2 (l / large)
      :ARG3 (m2 / most)
      :ARG5 (a2 / area
            :location (s / state :name (n / name :op1 ""Washington""))
            :mod (m / metropolitan)))","# ::snt Какова наибольшая городская территория штата Вашингтон?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883532
(z0 / какова)",0.11
1017,1017,Який найбільший мегаполіс у штаті Вашингтон?,uk,train,"# ::snt Який найбільший мегаполіс у штаті Вашингтон?
(h / have-degree-91
      :ARG1 (a3 / amr-unknown)
      :ARG2 (l / large)
      :ARG3 (m2 / most)
      :ARG5 (a2 / area
            :location (s / state :name (n / name :op1 ""Washington""))
            :mod (m / metropolitan)))","# ::snt Який найбільший мегаполіс у штаті Вашингтон?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883557
(z0 / amr-unintelligible
    :value ""найбѻьший"")",0.1
1018,1018,Koks yra didžiausias Vašingtono valstijos miestas?,lt,train,"# ::snt Koks yra didžiausias Vašingtono valstijos miestas?
(h / have-degree-91
      :ARG1 (a3 / amr-unknown)
      :ARG2 (l / large)
      :ARG3 (m2 / most)
      :ARG5 (a2 / area
            :location (s / state :name (n / name :op1 ""Washington""))
            :mod (m / metropolitan)))","# ::snt Koks yra didžiausias Vašingtono valstijos miestas?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883582
(z0 / and
    :op1 (z1 / kook-yra)
    :op2 (z2 / didžiausias)
    :op3 (z3 / valstijos
             :mod (z4 / city
                      :wiki ""Vašingtono""
                      :name (z5 / name
                                :op1 ""Vašingtono"")))
    :polarity (z6 / amr-unknown))",0.24
1019,1019,Які самы вялікі горад у штаце Вашынгтон?,be,train,"# ::snt Які самы вялікі горад у штаце Вашынгтон?
(h / have-degree-91
      :ARG1 (a3 / amr-unknown)
      :ARG2 (l / large)
      :ARG3 (m2 / most)
      :ARG5 (a2 / area
            :location (s / state :name (n / name :op1 ""Washington""))
            :mod (m / metropolitan)))","# ::snt Які самы вялікі горад у штаце Вашынгтон?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883616
(z0 / thing
    :polarity (z1 / amr-unknown)
    :domain (z2 / string-entity
                :value ""самы""))",0.17
1020,1020,Who killed John Lennon?,en,train,"# ::snt Who killed John Lennon?
(k / kill-01
      :ARG0 (a / amr-unknown)
      :ARG1 (p / person :name (n / name :op1 ""John"" :op2 ""Lennon"")))","# ::snt Who killed John Lennon?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883641
(z0 / kill-01
    :ARG0 (z1 / amr-unknown)
    :ARG1 (z2 / person
              :wiki ""John_Lennon""
              :name (z3 / name
                        :op1 ""John""
                        :op2 ""Lennon"")))",0.95
1021,1021,Джон Леннон кем үтерде?,ba,train,"# ::snt Джон Леннон кем үтерде?
(k / kill-01
      :ARG0 (a / amr-unknown)
      :ARG1 (p / person :name (n / name :op1 ""John"" :op2 ""Lennon"")))","# ::snt Джон Леннон кем үтерде?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883665
(z0 / amr-unintelligible
    :value ""Леннон"")",0.15
1022,1022,Ո՞վ է սպանել Ջոն Լենոնին:,hy,train,"# ::snt Ո՞վ է սպանել Ջոն Լենոնին:
(k / kill-01
      :ARG0 (a / amr-unknown)
      :ARG1 (p / person :name (n / name :op1 ""John"" :op2 ""Lennon"")))","# ::snt Ո՞վ է սպանել Ջոն Լենոնին:
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883692
(z0 / have-mod-91
    :ARG2 (z1 / string-entity
              :value ""Ո՞վ""))",0.13
1023,1023,Qui a tué John Lennon?,fr,train,"# ::snt Qui a tué John Lennon?
(k / kill-01
      :ARG0 (a / amr-unknown)
      :ARG1 (p / person :name (n / name :op1 ""John"" :op2 ""Lennon"")))","# ::snt Qui a tué John Lennon?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883717
(z0 / person
    :wiki ""John_Lennon""
    :name (z1 / name
              :op1 ""John""
              :op2 ""Lennon"")
    :mod (z2 / qui-a-tué)
    :polarity (z3 / amr-unknown))",0.57
1024,1024,Wer tötete John Lennon?,de,train,"# ::snt Wer tötete John Lennon?
(k / kill-01
      :ARG0 (a / amr-unknown)
      :ARG1 (p / person :name (n / name :op1 ""John"" :op2 ""Lennon"")))","# ::snt Wer tötete John Lennon?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883742
(z0 / person
    :wiki ""John_Lennon""
    :name (z1 / name
              :op1 ""John""
              :op2 ""Lennon"")
    :mod (z2 / amr-unknown))",0.63
1025,1025,Wer hat John Lennon getötet?,de,train,"# ::snt Wer hat John Lennon getötet?
(k / kill-01
      :ARG0 (a / amr-unknown)
      :ARG1 (p / person :name (n / name :op1 ""John"" :op2 ""Lennon"")))","# ::snt Wer hat John Lennon getötet?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883768
(z0 / get-01
    :ARG0 (z1 / person
              :wiki ""John_Lennon""
              :name (z2 / name
                        :op1 ""John""
                        :op2 ""Lennon""))
    :ARG1 (z3 / amr-unknown))",0.67
1026,1026,Кто убил Джона Леннона?,ru,train,"# ::snt Кто убил Джона Леннона?
(k / kill-01
      :ARG0 (a / amr-unknown)
      :ARG1 (p / person :name (n / name :op1 ""John"" :op2 ""Lennon"")))","# ::snt Кто убил Джона Леннона?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883794
(z0 / amr-unintelligible
    :value ""у�ил""
    :op2 ""Джона"")",0.14
1027,1027,Хто вбив Джона Ленона?,uk,train,"# ::snt Хто вбив Джона Ленона?
(k / kill-01
      :ARG0 (a / amr-unknown)
      :ARG1 (p / person :name (n / name :op1 ""John"" :op2 ""Lennon"")))","# ::snt Хто вбив Джона Ленона?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883819
(z0 / Хто
    :polarity (z1 / amr-unknown))",0.29
1028,1028,Kas nužudė Johną Lennoną?,lt,train,"# ::snt Kas nužudė Johną Lennoną?
(k / kill-01
      :ARG0 (a / amr-unknown)
      :ARG1 (p / person :name (n / name :op1 ""John"" :op2 ""Lennon"")))","# ::snt Kas nužudė Johną Lennoną?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883845
(z0 / kase-00
    :ARG1 (z1 / person
              :wiki ""John_Lennon""
              :name (z2 / name
                        :op1 ""John""
                        :op2 ""Lennon""))
    :polarity (z3 / amr-unknown))",0.76
1029,1029,Хто забіў джона ленана?,be,train,"# ::snt Хто забіў джона ленана?
(k / kill-01
      :ARG0 (a / amr-unknown)
      :ARG1 (p / person :name (n / name :op1 ""John"" :op2 ""Lennon"")))","# ::snt Хто забіў джона ленана?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883880
(z0 / Хто)",0.17
1030,1030,Which writers studied in Istanbul?,en,train,"# ::snt Which writers studied in Istanbul?
(s / study-01
      :ARG0 (p / person
            :ARG0-of (w / write-01)
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Istanbul"")))","# ::snt Which writers studied in Istanbul?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883905
(z0 / study-01
    :ARG0 (z1 / amr-unknown
              :ARG1-of (z2 / include-91
                           :ARG2 (z3 / person
                                     :ARG0-of (z4 / write-01))))
    :location (z5 / city
                  :wiki ""Istanbul""
                  :name (z6 / name
                            :op1 ""Istanbul"")))",0.76
1031,1031,Истанбулда уҡый яҙыусы кем?,ba,train,"# ::snt Истанбулда уҡый яҙыусы кем?
(s / study-01
      :ARG0 (p / person
            :ARG0-of (w / write-01)
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Istanbul"")))","# ::snt Истанбулда уҡый яҙыусы кем?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883930
(z0 / string-entity
    :value ""уҡы""
    :polarity (z1 / amr-unknown))",0.22
1032,1032,Ո՞ր գրողներն են սովորել Ստամբուլում:,hy,train,"# ::snt Ո՞ր գրողներն են սովորել Ստամբուլում:
(s / study-01
      :ARG0 (p / person
            :ARG0-of (w / write-01)
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Istanbul"")))","# ::snt Ո՞ր գրողներն են սովորել Ստամբուլում:
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883955
(z0 / have-mod-91
    :ARG2 (z1 / գրողերն))",0.12
1033,1033,Quels écrivains ont étudié à Istanbul?,fr,train,"# ::snt Quels écrivains ont étudié à Istanbul?
(s / study-01
      :ARG0 (p / person
            :ARG0-of (w / write-01)
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Istanbul"")))","# ::snt Quels écrivains ont étudié à Istanbul?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.883982
(z0 / integrate-01
    :ARG1 (z1 / envoy
              :mod (z2 / certain))
    :location (z3 / city
                  :wiki ""Istanbul""
                  :name (z4 / name
                            :op1 ""Istanbul""))
    :polarity (z5 / amr-unknown))",0.52
1034,1034,Welche Schriftsteller haben in Istanbul studiert?,de,train,"# ::snt Welche Schriftsteller haben in Istanbul studiert?
(s / study-01
      :ARG0 (p / person
            :ARG0-of (w / write-01)
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Istanbul"")))","# ::snt Welche Schriftsteller haben in Istanbul studiert?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884007
(z0 / study-01
    :ARG0 (z1 / person
              :wiki ""Welche_Schriftsteller""
              :name (z2 / name
                        :op1 ""Welche""
                        :op2 ""Schriftsteller""))
    :location (z3 / city
                  :wiki ""Istanbul""
                  :name (z4 / name
                            :op1 ""Istanbul""))
    :polarity (z5 / amr-unknown))",0.67
1035,1035,Welche Schriftsteller haben in Istanbul studiert ?,de,train,"# ::snt Welche Schriftsteller haben in Istanbul studiert ?
(s / study-01
      :ARG0 (p / person
            :ARG0-of (w / write-01)
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Istanbul"")))","# ::snt Welche Schriftsteller haben in Istanbul studiert ?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884034
(z0 / study-01
    :ARG0 (z1 / person
              :wiki ""Welche_Schriftsteller""
              :name (z2 / name
                        :op1 ""Welche""
                        :op2 ""Schriftsteller""))
    :location (z3 / city
                  :wiki ""Istanbul""
                  :name (z4 / name
                            :op1 ""Istanbul""))
    :polarity (z5 / amr-unknown))",0.67
1036,1036,Кто из писателей учился в Стамбуле?,ru,train,"# ::snt Кто из писателей учился в Стамбуле?
(s / study-01
      :ARG0 (p / person
            :ARG0-of (w / write-01)
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Istanbul"")))","# ::snt Кто из писателей учился в Стамбуле?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884060
(z0 / amr-unintelligible
    :value ""Кто""
    :polarity (z1 / amr-unknown))",0.22
1037,1037,Какие писатели учились в Стамбуле?,ru,train,"# ::snt Какие писатели учились в Стамбуле?
(s / study-01
      :ARG0 (p / person
            :ARG0-of (w / write-01)
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Istanbul"")))","# ::snt Какие писатели учились в Стамбуле?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884086
(z0 / amr-unintelligible
    :value ""какие"")",0.12
1038,1038,Які письменники навчалися в Істамублі?,uk,train,"# ::snt Які письменники навчалися в Істамублі?
(s / study-01
      :ARG0 (p / person
            :ARG0-of (w / write-01)
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Istanbul"")))","# ::snt Які письменники навчалися в Істамублі?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884111
(z0 / amr-unintelligible
    :value ""письменники"")",0.12
1039,1039,Kuris rašytojas studijavo Stambule?,lt,train,"# ::snt Kuris rašytojas studijavo Stambule?
(s / study-01
      :ARG0 (p / person
            :ARG0-of (w / write-01)
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Istanbul"")))","# ::snt Kuris rašytojas studijavo Stambule?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884136
(z0 / person
    :wiki ""Kuris_Rašytojas""
    :name (z1 / name
              :op1 ""Kuris""
              :op2 ""Rašytojas"")
    :ARG0-of (z2 / studijavo
                 :polarity (z3 / amr-unknown)))",0.33
1040,1040,Хто з пісьменнікаў вучыўся ў стамбуле?,be,train,"# ::snt Хто з пісьменнікаў вучыўся ў стамбуле?
(s / study-01
      :ARG0 (p / person
            :ARG0-of (w / write-01)
            :mod (a / amr-unknown))
      :location (c / city :name (n / name :op1 ""Istanbul"")))","# ::snt Хто з пісьменнікаў вучыўся ў стамбуле?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884161
(z0 / tuesday
    :polarity (z1 / amr-unknown))",0.24
1041,1041,Give me all Australian metalcore bands.,en,train,"# ::snt Give me all Australian metalcore bands.
(g / give-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / band
            :mod (m / metalcore)
            :mod (a / all)
            :mod (c / country :name (n / name :op1 ""Australia"")))
      :ARG2 (i / i))","# ::snt Give me all Australian metalcore bands.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884186
(z0 / give-01
    :mode imperative
    :ARG0 (z1 / you)
    :ARG1 (z2 / band
              :mod (z3 / all)
              :mod (z4 / metalcore)
              :mod (z5 / country
                       :wiki ""Australia""
                       :name (z6 / name
                                 :op1 ""Australia"")))
    :ARG2 (z7 / i))",0.97
1042,1042,Donnez-moi tous les groupes de metalcore australiens.,fr,train,"# ::snt Donnez-moi tous les groupes de metalcore australiens.
(g / give-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / band
            :mod (m / metalcore)
            :mod (a / all)
            :mod (c / country :name (n / name :op1 ""Australia"")))
      :ARG2 (i / i))","# ::snt Donnez-moi tous les groupes de metalcore australiens.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884212
(z0 / say-01
    :ARG0 (z1 / i)
    :ARG1 (z2 / group
              :mod (z3 / metalcore
                       :mod (z4 / country
                                :wiki ""Australia""
                                :name (z5 / name
                                          :op1 ""Australia"")))
              :mod (z6 / les)
              :mod (z7 / all))
    :ARG2 (z8 / you))",0.63
1043,1043,Liste alle australischen Metalcore-Bands auf.,de,train,"# ::snt Liste alle australischen Metalcore-Bands auf.
(g / give-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / band
            :mod (m / metalcore)
            :mod (a / all)
            :mod (c / country :name (n / name :op1 ""Australia"")))
      :ARG2 (i / i))","# ::snt Liste alle australischen Metalcore-Bands auf.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884239
(z0 / list-02
    :ARG1 (z1 / band
              :mod (z2 / metalcore)
              :mod (z3 / country
                       :wiki ""Australia""
                       :name (z4 / name
                                 :op1 ""Australia""))
              :mod (z5 / alle)))",0.69
1044,1044,Gib mir alle australischen metalcore-Bands.,de,train,"# ::snt Gib mir alle australischen metalcore-Bands.
(g / give-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / band
            :mod (m / metalcore)
            :mod (a / all)
            :mod (c / country :name (n / name :op1 ""Australia"")))
      :ARG2 (i / i))","# ::snt Gib mir alle australischen metalcore-Bands.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884265
(z0 / gib
    :mod (z2 / metalcore)
    :mod (z3 / country
             :wiki ""Australia""
             :name (z4 / name
                       :op1 ""Australia""))
    :mod (z5 / alle))",0.53
1045,1045,Перечислите все австралийские металкор группы,ru,train,"# ::snt Перечислите все австралийские металкор группы
(g / give-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / band
            :mod (m / metalcore)
            :mod (a / all)
            :mod (c / country :name (n / name :op1 ""Australia"")))
      :ARG2 (i / i))","# ::snt Перечислите все австралийские металкор группы
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884290
(z0 / string-entity
    :value ""Перечислите"")",0.1
1046,1046,Приведите список всех Австралийских металлкор групп.,ru,train,"# ::snt Приведите список всех Австралийских металлкор групп.
(g / give-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / band
            :mod (m / metalcore)
            :mod (a / all)
            :mod (c / country :name (n / name :op1 ""Australia"")))
      :ARG2 (i / i))","# ::snt Приведите список всех Австралийских металлкор групп.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884317
(z0 / Приведите)",0.1
1047,1047,Перечислите все австралийские металкор-группы,ru,train,"# ::snt Перечислите все австралийские металкор-группы
(g / give-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / band
            :mod (m / metalcore)
            :mod (a / all)
            :mod (c / country :name (n / name :op1 ""Australia"")))
      :ARG2 (i / i))","# ::snt Перечислите все австралийские металкор-группы
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884342
(z0 / have-mod-91
    :ARG2 (z1 / city
              :wiki ""Sofia,_Bulgaria""
              :name (z2 / name
                        :op1 ""Sofia"")))",0.23
1048,1048,Перерахуйте усі австралійські металкор групи,uk,train,"# ::snt Перерахуйте усі австралійські металкор групи
(g / give-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / band
            :mod (m / metalcore)
            :mod (a / all)
            :mod (c / country :name (n / name :op1 ""Australia"")))
      :ARG2 (i / i))","# ::snt Перерахуйте усі австралійські металкор групи
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884371
(z0 / string-entity
    :value ""Перерахуйте"")",0.1
1049,1049,Pasakyk man visas Australijos metalcore grupes.,lt,train,"# ::snt Pasakyk man visas Australijos metalcore grupes.
(g / give-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / band
            :mod (m / metalcore)
            :mod (a / all)
            :mod (c / country :name (n / name :op1 ""Australia"")))
      :ARG2 (i / i))","# ::snt Pasakyk man visas Australijos metalcore grupes.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884397
(z0 / visa-01
    :ARG0 (z1 / man
              :mod (z2 / pazak))
    :ARG1 (z3 / grupe
              :mod (z4 / metalcore)
              :mod (z5 / person
                       :mod (z6 / country
                                :wiki ""Australia""
                                :name (z7 / name
                                          :op1 ""Australia"")))))",0.56
1050,1050,Išvardykite visas Australijos metalcore grupes,lt,train,"# ::snt Išvardykite visas Australijos metalcore grupes
(g / give-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / band
            :mod (m / metalcore)
            :mod (a / all)
            :mod (c / country :name (n / name :op1 ""Australia"")))
      :ARG2 (i / i))","# ::snt Išvardykite visas Australijos metalcore grupes
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884423
(z0 / visa
    :mod (z1 / country
             :wiki ""Išvardykite""
             :name (z2 / name
                       :op1 ""Išvardykite""))
    :mod (z3 / country
             :wiki ""Australasia""
             :name (z4 / name
                       :op1 ""Australasia""))
    :mod (z5 / grupe
             :mod (z6 / metalcore)))",0.33
1051,1051,Пералічыце ўсе аўстралійскія металкор групы,be,train,"# ::snt Пералічыце ўсе аўстралійскія металкор групы
(g / give-01 :mode imperative
      :ARG0 (y / you)
      :ARG1 (b / band
            :mod (m / metalcore)
            :mod (a / all)
            :mod (c / country :name (n / name :op1 ""Australia"")))
      :ARG2 (i / i))","# ::snt Пералічыце ўсе аўстралійскія металкор групы
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884448
(z0 / string-entity
    :value ""Пералічыце"")",0.1
1052,1052,Which countries adopted the Euro?,en,train,"# ::snt Which countries adopted the Euro?
(a / adopt-01
      :ARG0 (c / country
            :mod (a2 / amr-unknown))
      :ARG1 (e / euro))","# ::snt Which countries adopted the Euro?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884474
(z0 / adopt-01
    :ARG0 (z1 / country
              :mod (z2 / amr-unknown))
    :ARG1 (z3 / euro))",1.0
1053,1053,Ниндәй илдәрҙә евроны ҡабул итә.,ba,train,"# ::snt Ниндәй илдәрҙә евроны ҡабул итә.
(a / adopt-01
      :ARG0 (c / country
            :mod (a2 / amr-unknown))
      :ARG1 (e / euro))","# ::snt Ниндәй илдәрҙә евроны ҡабул итә.
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884505
(z0 / string-entity
    :value ""ндәй"")",0.18
1054,1054,Quels pays ont adopté l'Euro ?,fr,train,"# ::snt Quels pays ont adopté l'Euro ?
(a / adopt-01
      :ARG0 (c / country
            :mod (a2 / amr-unknown))
      :ARG1 (e / euro))","# ::snt Quels pays ont adopté l'Euro ?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884531
(z0 / adopt-01
    :ARG0 (z1 / person
              :ARG0-of (z2 / pay-01
                           :ARG1 (z3 / tax)))
    :ARG1 (z4 / euro)
    :polarity (z5 / amr-unknown))",0.6
1055,1055,Welche Ländern haben den Euro eingeführt?,de,train,"# ::snt Welche Ländern haben den Euro eingeführt?
(a / adopt-01
      :ARG0 (c / country
            :mod (a2 / amr-unknown))
      :ARG1 (e / euro))","# ::snt Welche Ländern haben den Euro eingeführt?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884575
(z0 / have-03
    :ARG0 (z1 / city
              :mod (z2 / amr-unknown)
              :part-of (z3 / country
                           :wiki ""Germany""
                           :name (z4 / name
                                     :op1 ""Germany"")))
    :ARG1 (z5 / euro
              :mod (z6 / ehrenheit)))",0.5
1056,1056,Welche Länder haben den Euro eingeführt?,de,train,"# ::snt Welche Länder haben den Euro eingeführt?
(a / adopt-01
      :ARG0 (c / country
            :mod (a2 / amr-unknown))
      :ARG1 (e / euro))","# ::snt Welche Länder haben den Euro eingeführt?
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884617
(z0 / have-03
    :ARG0 (z1 / person
              :mod (z2 / country
                       :wiki ""Germany""
                       :name (z3 / name
                                 :op1 ""Germany"")))
    :ARG1 (z4 / euro
              :mod (z5 / eh))
    :polarity (z6 / amr-unknown))",0.42
1057,1057,Какие страны приняли Евро,ru,train,"# ::snt Какие страны приняли Евро
(a / adopt-01
      :ARG0 (c / country
            :mod (a2 / amr-unknown))
      :ARG1 (e / euro))","# ::snt Какие страны приняли Евро
# ::annotator bart-amr
# ::date 2023-04-29 18:19:33.884646
(z0 / amr-unintelligible
    :value ""страны"")",0.18
