,sentence,language,set,gold_amr,parsed_amr,smatch
1270,Kokios programavimo kalbos turėjo įtakos Javascript?,lt,train,"# ::snt Kokios programavimo kalbos turėjo įtakos Javascript?
(i2 / influence-01
      :ARG0 (l / language
            :medium-of (p / program-01)
            :mod (a / amr-unknown))
      :ARG1 (l2 / language :name (n / name :op1 ""Javascript"")))","# ::snt Якiя мовы праграмавання паўплывалi на Javascript?
(i2 / influence-01
      :ARG0 (l / language
            :medium-of (p / program-01)
            :mod (a / amr-unknown))
      :ARG1 (l2 / language :name (n / name :op1 ""Javascript"")))",0.4
1271,Якiя мовы праграмавання паўплывалi на Javascript?,be,train,"# ::snt Якiя мовы праграмавання паўплывалi на Javascript?
(i2 / influence-01
      :ARG0 (l / language
            :medium-of (p / program-01)
            :mod (a / amr-unknown))
      :ARG1 (l2 / language :name (n / name :op1 ""Javascript"")))","# ::snt Программалау теле Javascript ниндәй йоғонто яһай?
(i2 / influence-01
      :ARG0 (l / language
            :medium-of (p / program-01)
            :mod (a / amr-unknown))
      :ARG1 (l2 / language :name (n / name :op1 ""Javascript"")))",0.11
1272,Which musician wrote the most books?,en,train,"# ::snt Which musician wrote the most books?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))","# ::snt Which musician wrote the most books?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))",0.83
1273,Welcher Musiker hat die meisten Bücher geschrieben?,de,train,"# ::snt Welcher Musiker hat die meisten Bücher geschrieben?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))","# ::snt Welcher Musiker hat die meisten Bücher geschrieben?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))",0.36
1274,Кто из музыкантов написал наибольшее количество книг?,ru,train,"# ::snt Кто из музыкантов написал наибольшее количество книг?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))","# ::snt Kuris muzikantas yra parašęs daugiausia knygų?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))",0.12
1275,Какой музыкант написал больше всего книг?,ru,train,"# ::snt Какой музыкант написал больше всего книг?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))","# ::snt Кто из музыкантов написал наибольшее количество книг?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))",0.14
1276,Какой музыкант написал больше всех книг?,ru,train,"# ::snt Какой музыкант написал больше всех книг?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))","# ::snt Какой музыкант написал больше всего книг?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))",0.14
1277,Хто з музикантів написав найбільше кількість книг?,uk,train,"# ::snt Хто з музикантів написав найбільше кількість книг?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))","# ::snt Какой музыкант написал больше всех книг?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))",0.24
1278,Хто з музикантів написав найбільшу кількість книг?,uk,train,"# ::snt Хто з музикантів написав найбільшу кількість книг?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))","# ::snt Хто з музикантів написав найбільше кількість книг?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))",0.24
1279,Kuris muzikantas yra parašęs daugiausia knygų?,lt,train,"# ::snt Kuris muzikantas yra parašęs daugiausia knygų?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))","# ::snt Хто з музикантів написав найбільшу кількість книг?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))",0.25
1280,Хто з музыкантаў напiсаў больш за ўсiх кнiг?,be,train,"# ::snt Хто з музыкантаў напiсаў больш за ўсiх кнiг?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))","# ::snt Хто з музыкантаў напiсаў больш за ўсiх кнiг?
(w / write-01
      :ARG0 (m / musician
            :mod (a / amr-unknown))
      :ARG1 (b / book
            :ARG1-of (h / have-quant-91
                  :ARG3 (m2 / most))))",0.27
1281,Which films starring Clint Eastwood did he direct himself?,en,train,"# ::snt Which films starring Clint Eastwood did he direct himself?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))","# ::snt Which films starring Clint Eastwood did he direct himself?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))",0.75
1282,In welchen Filmen hat Clint Eastwood Regie geführt und mitgespielt?,de,train,"# ::snt In welchen Filmen hat Clint Eastwood Regie geführt und mitgespielt?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))","# ::snt In welchen Filmen hat Clint Eastwood Regie geführt und mitgespielt?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))",0.43
1283,Какие фильмы с Клинтом Иствудом были сняты им самим?,ru,train,"# ::snt Какие фильмы с Клинтом Иствудом были сняты им самим?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))","# ::snt Kokie filmai su Klintu Istvudu buvo filmuoti juo pačiu?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))",0.21
1284,Какие фильмы снял Клинт Иствуд с собой в главной роли?,ru,train,"# ::snt Какие фильмы снял Клинт Иствуд с собой в главной роли?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))","# ::snt Какие фильмы с Клинтом Иствудом были сняты им самим?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))",0.1
1285,Какие фильмы с Клинтом Иствудом в главной роли он спродюссировал самостоятельно?,ru,train,"# ::snt Какие фильмы с Клинтом Иствудом в главной роли он спродюссировал самостоятельно?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))","# ::snt Какие фильмы снял Клинт Иствуд с собой в главной роли?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))",0.11
1286,В каких фильмах Клинт Иствуд исполнял главную роль и был режиссёром?,ru,train,"# ::snt В каких фильмах Клинт Иствуд исполнял главную роль и был режиссёром?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))","# ::snt Какие фильмы с Клинтом Иствудом в главной роли он спродюссировал самостоятельно?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))",0.19
1287,Які фільми з Клінтом Іствудом були зняті ним самим?,uk,train,"# ::snt Які фільми з Клінтом Іствудом були зняті ним самим?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))","# ::snt В каких фильмах Клинт Иствуд исполнял главную роль и был режиссёром?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))",0.11
1288,Kokie filmai su Klintu Istvudu buvo filmuoti juo pačiu?,lt,train,"# ::snt Kokie filmai su Klintu Istvudu buvo filmuoti juo pačiu?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))","# ::snt Які фільми з Клінтом Іствудом були зняті ним самим?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))",0.34
1289,"Якi з фiльмаў, дзе здымаўся Клiнт Iствуд, рэжысаваў ён сам?",be,train,"# ::snt Якi з фiльмаў, дзе здымаўся Клiнт Iствуд, рэжысаваў ён сам?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))","# ::snt Якi з фiльмаў, дзе здымаўся Клiнт Iствуд, рэжысаваў ён сам?
(d / direct-01
      :ARG0 (p / person :name (n / name :op1 ""Clint"" :op2 ""Eastwood""))
      :ARG1 (f / film
            :mod (a / amr-unknown)
            :ARG2-of (s / star-01
                  :ARG1 p)))",0.12
1290,Which software has been developed by organizations founded in California?,en,train,"# ::snt Which software has been developed by organizations founded in California?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))","# ::snt Which software has been developed by organizations founded in California?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))",0.97
1291,Ниндәй программалар менән тәьмин итеү булып эшләү компанияһына нигеҙ һала. Калифорния?,ba,train,"# ::snt Ниндәй программалар менән тәьмин итеү булып эшләү компанияһына нигеҙ һала. Калифорния?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))","# ::snt Welche Software wurde von in Kalifornien gegründeten Organisationen entwickelt?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))",0.21
1292,Welche Software wurde von in Kalifornien gegründeten Organisationen entwickelt?,de,train,"# ::snt Welche Software wurde von in Kalifornien gegründeten Organisationen entwickelt?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))","# ::snt Kokią programinę įrangą sukūrė Kalifornijoje įsikūrusios įmonės?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))",0.38
1293,"Какое программное обеспечение была разработано компаниями, основанными в Калифорнии?",ru,train,"# ::snt Какое программное обеспечение была разработано компаниями, основанными в Калифорнии?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))","# ::snt Kokia programinė įranga buvo sukurta Kalifornijos įmonemis?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))",0.1
1294,"Какое программное обеспечение было разработано компания, основанными в Калифорнии?",ru,train,"# ::snt Какое программное обеспечение было разработано компания, основанными в Калифорнии?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))","# ::snt Какое программное обеспечение была разработано компаниями, основанными в Калифорнии?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))",0.1
1295,"Какое программное обеспечение было разработано организациями, основанными в Калифорнии?",ru,train,"# ::snt Какое программное обеспечение было разработано организациями, основанными в Калифорнии?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))","# ::snt Какое программное обеспечение было разработано компания, основанными в Калифорнии?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))",0.1
1296,"Какое программное обеспечение разработано в организациях, основанных в Калифорнии?",ru,train,"# ::snt Какое программное обеспечение разработано в организациях, основанных в Калифорнии?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))","# ::snt Какое программное обеспечение было разработано организациями, основанными в Калифорнии?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))",0.08
1297,"Яке програмне забезпечення було розроблено компаніями, заснованими в Каліфорнії?",uk,train,"# ::snt Яке програмне забезпечення було розроблено компаніями, заснованими в Каліфорнії?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))","# ::snt Какое программное обеспечение разработано в организациях, основанных в Калифорнии?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))",0.32
1298,"Яке програмне забезпечення була розроблене компаніями, заснованими в Каліфорнії?",uk,train,"# ::snt Яке програмне забезпечення була розроблене компаніями, заснованими в Каліфорнії?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))","# ::snt Яке програмне забезпечення було розроблено компаніями, заснованими в Каліфорнії?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))",0.32
1299,Kokią programinę įrangą sukūrė Kalifornijoje įsikūrusios įmonės?,lt,train,"# ::snt Kokią programinę įrangą sukūrė Kalifornijoje įsikūrusios įmonės?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))","# ::snt Яке програмне забезпечення була розроблене компаніями, заснованими в Каліфорнії?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))",0.12
1300,Kokia programinė įranga buvo sukurta Kalifornijos įmonemis?,lt,train,"# ::snt Kokia programinė įranga buvo sukurta Kalifornijos įmonemis?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))","# ::snt Якое праграмнае забеспячэнне было распрацавана арганiзацыямi, заснаванымi ў Калiфорнii?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))",0.26
1301,"Якое праграмнае забеспячэнне было распрацавана арганiзацыямi, заснаванымi ў Калiфорнii?",be,train,"# ::snt Якое праграмнае забеспячэнне было распрацавана арганiзацыямi, заснаванымi ў Калiфорнii?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))","# ::snt Ниндәй программалар менән тәьмин итеү булып эшләү компанияһына нигеҙ һала. Калифорния?
(d / develop-02
      :ARG0 (o / organization
            :ARG1-of (f / found-01
                  :location (s / state :name (n / name :op1 ""California""))))
      :ARG1 (s2 / software
            :mod (a / amr-unknown)))",0.18
1302,Which instruments does Cat Stevens play?,en,train,"# ::snt Which instruments does Cat Stevens play?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))","# ::snt Which instruments does Cat Stevens play?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))",0.96
1303,Welche Instrumente spielt Cat Stevens?,de,train,"# ::snt Welche Instrumente spielt Cat Stevens?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))","# ::snt Welche Instrumente spielt Cat Stevens?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))",0.47
1304,На каких инструментах играл Кэт Стивенс?,ru,train,"# ::snt На каких инструментах играл Кэт Стивенс?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))","# ::snt Kokiais instrumentais grojo Kat Stevens?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))",0.25
1305,На каких инструментах играет Кэт Стивенс?,ru,train,"# ::snt На каких инструментах играет Кэт Стивенс?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))","# ::snt Kokiais instrumentais grojo Ket Stivens?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))",0.13
1306,На яких інструментах грав Кет Стівенс?,uk,train,"# ::snt На яких інструментах грав Кет Стівенс?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))","# ::snt На каких инструментах играл Кэт Стивенс?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))",0.13
1307,Kokiais instrumentais grojo Kat Stevens?,lt,train,"# ::snt Kokiais instrumentais grojo Kat Stevens?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))","# ::snt На каких инструментах играет Кэт Стивенс?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))",0.34
1308,Kokiais instrumentais grojo Ket Stivens?,lt,train,"# ::snt Kokiais instrumentais grojo Ket Stivens?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))","# ::snt На яких інструментах грав Кет Стівенс?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))",0.31
1309,На якiм iнструменце граў Кэт Стывенс?,be,train,"# ::snt На якiм iнструменце граў Кэт Стывенс?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))","# ::snt На якiм iнструменце граў Кэт Стывенс?
(p / play-11
      :ARG0 (p2 / person :name (n / name :op1 ""Cat"" :op2 ""Stevens""))
      :ARG2 (i2 / instrument
            :mod (a / amr-unknown)))",0.13
1310,How many airlines are members of the Star Alliance?,en,train,"# ::snt How many airlines are members of the Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))","# ::snt How many airlines are members of the Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))",0.9
1311,Wie viele Fluglinien gehören zur Star Alliance?,de,train,"# ::snt Wie viele Fluglinien gehören zur Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))","# ::snt Wie viele Fluglinien gehören zur Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))",0.52
1312,Какое количество авиакомпаний являются членами Star Alliance?,ru,train,"# ::snt Какое количество авиакомпаний являются членами Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))","# ::snt Kiek oro linijų yra „Star Alliance“ narių?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))",0.52
1313,Сколько авиакомпаний являются членами Star Alliance?,ru,train,"# ::snt Сколько авиакомпаний являются членами Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))","# ::snt Какое количество авиакомпаний являются членами Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))",0.52
1314,Сколько авиакомпаний являются членами альянса Star?,ru,train,"# ::snt Сколько авиакомпаний являются членами альянса Star?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))","# ::snt Сколько авиакомпаний являются членами Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))",0.2
1315,Сколько авиакомпаний в Star Alliance?,ru,train,"# ::snt Сколько авиакомпаний в Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))","# ::snt Сколько авиакомпаний являются членами альянса Star?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))",0.43
1316,Яка кількість авіакомпаній є членами Star Alliance?,uk,train,"# ::snt Яка кількість авіакомпаній є членами Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))","# ::snt Сколько авиакомпаний в Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))",0.52
1317,Kiek oro linijų yra „Star Alliance“ narių?,lt,train,"# ::snt Kiek oro linijų yra „Star Alliance“ narių?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))","# ::snt Яка кількість авіакомпаній є членами Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))",0.15
1318,Якiя авiякампанii з'яўляюцца ўдзельнiкамi Star Alliance?,be,train,"# ::snt Якiя авiякампанii з'яўляюцца ўдзельнiкамi Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))","# ::snt Якiя авiякампанii з'яўляюцца ўдзельнiкамi Star Alliance?
(h / have-org-role-91
      :ARG0 (a / airline
            :quant (a2 / amr-unknown))
      :ARG1 (o / organization :name (n / name :op1 ""Star"" :op2 ""Alliance""))
      :ARG2 (m / member))",0.52
